white win | 1n1qkb1r/1r1pp3/b4nQp/1N3P2/p4P2/2PPP2P/1P1K4/R1B2B1R b k - 0 22
draw by 50 move rule | 3b4/7k/1p1p4/1P1P4/8/7r/6K1/8 w - - 100 189
draw by insufficient material | 2N5/5k2/8/4K3/8/8/8/1b6 w - - 0 150
draw by insufficient material | 2b5/8/8/8/6k1/1K6/8/8 b - - 0 189
draw by insufficient material | 3k4/1K6/8/6N1/8/8/8/8 w - - 0 180
draw by insufficient material | 8/8/4k3/8/1K6/8/8/8 w - - 0 206
draw by insufficient material | 8/5K2/8/8/4b3/8/8/1k6 b - - 0 174
draw by 50 move rule | 2Q5/8/7k/8/8/8/1BK5/8 b - - 100 216
white win | 4k3/4Q3/4NP2/7p/3P3P/p1P5/4b3/N1K5 b - - 12 83
draw by insufficient material | 6k1/8/8/8/3K4/8/8/5B2 b - - 0 148
draw by insufficient material | 8/1k6/8/3K4/8/8/8/7N w - - 0 110
white win | 2Q3n1/8/1P5Q/p3pk2/8/2P2Nr1/1P1NK3/2B2B2 b - - 21 53
draw by 50 move rule | 8/8/8/3K1R2/8/8/1B6/3N3k b - - 100 250
draw by 50 move rule | 8/4r3/3k4/8/8/8/6K1/8 b - - 100 185
draw by insufficient material | 8/7k/8/8/8/8/6Kn/8 w - - 0 139
white win | r1b2br1/2p4N/p1q2p1k/Bp1ppP2/4P2Q/2N4P/P1PP1P2/1R2KBR1 b - - 4 23
draw by insufficient material | 8/6k1/8/3n4/8/8/8/4NK2 w - - 0 118
draw by insufficient material | 5K2/1k6/8/8/8/8/8/8 w - - 0 178
draw by insufficient material | 3bk3/8/8/8/4K3/8/8/N7 b - - 0 120
draw by insufficient material | 1k6/8/7K/8/8/8/8/7b w - - 0 214
draw by insufficient material | 8/2k5/8/8/8/8/8/5bK1 w - - 0 146
draw by insufficient material | 7b/8/8/8/7K/8/8/4k3 b - - 0 193
black win | 3b4/1b3Pk1/R7/1P6/n7/1n2p1p1/8/2r1N1Kq w - - 14 95
draw by insufficient material | 8/3K4/8/1k6/8/8/8/1b6 w - - 0 164
draw by 50 move rule | 6K1/8/8/8/8/3Q4/8/4k3 b - - 100 203
draw by insufficient material | 8/8/5K2/8/4k3/8/8/8 w - - 0 252
draw by insufficient material | 8/7B/4K3/8/8/7k/8/8 w - - 0 159
draw by insufficient material | 8/4n3/8/7K/8/4k3/8/7B b - - 0 147
draw by insufficient material | 8/8/1K6/5k2/8/8/8/8 b - - 0 144
draw by threefold repitition | 8/1K4p1/8/3k4/7p/7P/8/8 b - - 33 187
draw by 50 move rule | 8/8/8/5k1p/7P/K2N4/8/8 w - - 100 235
draw by insufficient material | 7B/8/8/3k4/6K1/8/8/8 b - - 0 139
draw by insufficient material | 8/K7/8/8/b7/8/8/4k3 b - - 0 195
draw by insufficient material | 8/8/1K6/8/8/8/8/5k2 w - - 0 159
draw by insufficient material | 8/8/8/8/8/8/1k4K1/8 w - - 0 167
draw by 50 move rule | 4K3/1k6/8/p7/P7/8/8/8 w - - 100 217
draw by 50 move rule | 8/2k1B3/6K1/8/8/1r6/8/8 b - - 100 182
draw by insufficient material | 7K/8/8/8/1k6/8/8/n1N5 b - - 0 167
draw by insufficient material | 8/3n4/8/2N5/8/8/1k6/4K3 b - - 0 125
draw by insufficient material | 3k4/8/1n6/8/8/3K4/8/8 b - - 0 184
white win | 4R1k1/1R6/6P1/8/8/7p/3K4/7n b - - 0 84
draw by insufficient material | 8/8/5K2/1k6/8/8/8/8 w - - 0 155
draw by stalemate | 8/8/8/8/1p6/2k4b/K7/5r2 w - - 16 121
draw by 50 move rule | 8/5K2/8/3B4/7k/p2R4/P7/8 b - - 100 195
draw by 50 move rule | 8/8/2B5/3N2N1/3k4/7K/8/8 b - - 100 165
draw by insufficient material | k7/3bK3/8/8/8/8/8/3N4 b - - 0 177
