black win | 5rk1/1bp1q3/2n5/rK1p1Nn1/4pP2/PP1PP1pp/R3B1PP/5QNR w - - 2 27
black win | r4rk1/8/pPb4p/2p5/2qbB2P/1R2K3/3P1ppR/1NB5 w - - 3 30
white win | r1bqkb1r/pppnp3/6Qp/5n2/3N1p1P/N1P1B3/P3PPP1/R3KB1R b KQkq - 0 14
draw by threefold repitition | N3k2r/ppp1np1p/8/6b1/4p2P/1p3p2/Pn3P2/3K1R1R w k - 10 37
black win | r3rk2/p1p5/8/2q5/1p4p1/3b1n1N/P1pP2P1/4K1R1 w - - 2 33
black win | r5k1/3n4/1p2p3/p3b3/P3q3/6P1/R1B3pP/1K3rNR w - - 4 43
black win | r2qrk2/ppp1np2/8/8/1P1Pn1bp/B3P3/B7/R3K1q1 w - - 0 32
black win | 2r1kr1B/p7/Pp6/2p4P/2n1pp2/2K1n1p1/2q3P1/5BR1 w - - 2 39
draw by threefold repitition | 6k1/8/8/r7/5P1p/p6P/P1p5/7K b - - 8 76
black win | 5rk1/1b2p2p/1n5n/r1p2p1P/1pK2P2/RP1P2p1/6PR/1N4N1 w - - 2 27
black win | 4rr2/pp3k2/8/2p5/3R3p/P4P2/4q1PP/5KR1 w - - 5 42
draw by threefold repitition | k7/8/8/8/8/8/3K4/r7 b - - 16 110
draw by threefold repitition | 5k2/8/7P/8/8/8/6K1/8 w - - 45 183
black win | r4rk1/1p5p/2nbq3/1P2pR2/p1b1n2P/P2p4/1BK5/RN2r3 w - - 0 32
black win | r4rkn/8/p7/1p1p4/8/3n1PBP/1q2PpPR/1K3B2 w - - 0 41
draw by threefold repitition | 4rk2/8/K7/3b4/8/3n1p2/5pp1/8 b - - 42 114
black win | rn2k2r/pp6/2p2p1n/1B2p1p1/1bPqK1b1/6PN/PP1P1P1P/RNBQ1R2 w kq - 1 14
black win | 5rk1/1p6/5pn1/8/B2b2b1/Bp1r3p/3p3P/3K4 w - - 2 49
black win | 4r1k1/8/7P/2pn1np1/b1p3P1/8/3K4/3r4 w - - 1 46
black win | r4rN1/1p1n1pk1/8/P2b4/8/4p3/P1pp2qP/R4KNR w - - 2 39
white win | r2qkb1r/3nn2p/p1pN4/p2p4/P1bP3P/1P4p1/R1P2PP1/2K2BNR b kq - 3 23
black win | r3k1r1/2p3b1/1p1p3p/5PBP/1P6/1n1b1R2/1np5/R1KN2N1 w q - 18 41
black win | r4rk1/ppp5/2R5/5q2/P2np2p/1P2n1bK/7P/7R w - - 4 39
black win | k2rr3/7p/7P/8/P5b1/4K1b1/4p3/8 w - - 1 77
black win | r3k2r/pp1n1n2/5P2/4p3/1pp1P1b1/1P1B2p1/5qpP/RNB1K2R w kq - 4 21
draw by threefold repitition | 6k1/8/8/8/1K2n3/3r4/p1pp2p1/8 b - - 17 98
black win | r1b1kb1r/pp2n2p/3p2p1/8/6P1/4n1K1/Pp5P/1RB1qq1R w kq - 0 26
black win | r2qrk2/pp5p/2p2n2/P1b1P1Q1/2p1p1p1/4P3/BPPN3P/R1BK1q2 w - - 0 30
black win | r4rk1/3n2b1/bpp2B2/2n4p/5P1P/1pp2R2/4P3/1K2q1NB w - - 0 35
draw by threefold repitition | 4rk1r/8/8/4p3/4n3/4b2p/5p2/7K w - - 10 65
black win | r3k2r/ppp4p/1N1q2p1/1bbnKp2/4n3/1P3NP1/PBP1PP1P/4RB1R w kq - 6 18
black win | 2kr3r/pp4bp/3p4/2qK1b2/1p1np3/N7/5NPP/R1BQ1BR1 w - - 0 22
black win | r4rk1/p7/8/3p3P/1P4p1/N1p2n2/P1P3P1/R2Kq3 w - - 4 44
black win | r1b1kb1r/pppp3p/4q1p1/1N2pp2/1nK1nP2/8/PPPPN1PP/R1BQ1B1R w kq - 10 12
black win | 4rr2/ppp2pk1/3p4/2PP3p/P7/7P/7b/5Kq1 w - - 0 30
black win | 3R4/1b4k1/7N/1p5P/8/3p2p1/8/1r2rK1R w - - 0 67
draw by threefold repitition | 1k2r3/8/8/p3nK1p/P6P/3n4/1p6/8 b - - 28 77
black win | r1b1k2r/p7/p1p5/2b1n3/PP6/3P2p1/4R2P/RN3Kq1 w - - 2 26
draw by threefold repitition | 6k1/p7/p7/P7/4K3/4b3/6p1/r7 b - - 9 80
black win | r4rk1/2p4p/7q/1p2n3/P2b1p2/RP1p1b1K/8/8 w - - 0 53
draw by threefold repitition | 3r2k1/8/8/4n3/7K/4b3/pp1p4/6r1 b - - 9 86
black win | r1bqk2r/pp4pp/2n1p3/2bp1p2/P4P2/2P3PK/Q2PPnBP/RN4NR w kq - 3 14
black win | 4r1k1/8/5b1p/4p2P/P2nn3/Kq6/4p1p1/8 w - - 4 50
random--alpha2 50 game(s) computed in 1287913 ms
