draw by stalemate | 8/4R3/2k5/8/PPPQ4/8/2K5/8 b - - 54 137
draw by insufficient material | 8/8/8/2k5/8/8/4K3/8 b - - 0 156
black win | 1n2Q3/2b3k1/2pp1N2/5P2/3p2n1/B7/P6r/qrK5 w - - 0 44
draw by insufficient material | 1K6/8/4k3/8/8/8/8/8 w - - 0 158
black win | 2r1k3/8/p4q1r/1p2n1Kp/8/5P2/4R3/4R3 w - - 9 66
draw by insufficient material | 4B3/8/8/1K2k3/8/8/8/8 b - - 0 159
draw by insufficient material | 2B5/8/8/8/2k5/8/3b2K1/8 w - - 0 200
white win | 7b/8/1P6/k3p2P/7P/Q3K3/6r1/1R6 b - - 1 81
draw by insufficient material | 4K3/6b1/8/8/7k/8/8/8 w - - 0 134
white win | 8/4R3/8/5kRN/7P/1pb2K2/8/8 b - - 1 98
black win | r1b2bn1/p3pk2/4ppr1/6p1/p1n1P2p/1P3P1P/P2qK1PB/R4B1R w - - 0 21
black win | rnb1kb1r/pp3p1p/2ppp3/P5P1/1P2n1PP/2P5/3PPq2/RNBQKBNR w kq - 1 11
draw by insufficient material | 1k6/8/8/8/1K6/5b2/8/8 w - - 0 145
draw by insufficient material | 8/8/1N2k3/7K/8/8/8/8 w - - 0 120
draw by insufficient material | 8/8/6K1/8/8/6k1/1N6/8 w - - 0 155
draw by 50 move rule | 8/6k1/5R2/8/1b6/8/4K3/8 b - - 100 251
draw by insufficient material | 8/8/2k5/8/8/2b5/8/7K w - - 0 135
black win | r1k5/pp5p/3nppn1/2P5/4b1P1/4P3/PP1r1Q2/RKB5 w - - 3 43
black win | 8/nk6/p1n5/P4b2/2p3p1/5p1p/5P1P/q4K2 w - - 0 99
black win | 1k3b2/8/Pp1p4/3P1p2/2p5/2P3P1/7q/r3KR1r w - - 1 69
draw by insufficient material | 8/8/8/8/2K1k3/8/8/3b4 w - - 0 131
draw by insufficient material | 8/3K4/8/8/2k5/8/8/8 w - - 0 210
