black win | r1b1kbnr/p1pp1ppp/n3p3/1p6/2P3Pq/N4P2/PP1PP2P/R1BQKBNR w KQkq - 1 5
white win | 8/N7/8/8/7B/k1K5/8/R7 b - - 26 179
white win | 8/2Q3P1/k7/4P3/8/K7/8/5B2 b - - 8 113
black win | 4kbnr/1b2p3/rp1p2pp/p1p1np2/2BK4/P1P1PPP1/1P1PQ2P/RNB3NR w k c6 0 17
black win | rnk5/7n/2p4b/p1N2p1p/pPp1P3/2P2PRP/3q4/1q3K2 w - - 0 54
black win | r1k3r1/6pN/P5b1/2p2p1p/2Pp4/2N3qK/P1QPB2b/1R2R3 w - - 4 49
draw by insufficient material | 8/8/7k/1K6/8/3B4/8/7b w - - 0 145
black win | k1b4r/1p4b1/2PPp2p/2p1B1nP/p2Q1KP1/P4r1B/1PR2b2/6R1 w - - 5 48
white win | rnbqkb1r/ppppnp1p/4pNp1/8/1P6/8/P1PPPPPP/R1BQKBNR b KQkq - 1 4
white win | 2bqkbnr/3pp3/r1p1NpB1/Pp4p1/P4P1p/N3P1PP/2PPQ3/R1B2K1R b - - 7 19
white win | 5kR1/2bb4/1B2Qp2/pP3P1r/PR2p3/2P4P/K3B3/8 b - - 5 50
black win | r7/7N/2n5/2B1k1pp/4P3/3b1BbP/1p6/bK6 w - - 6 78
white win | 1nb1k2r/r2pQ3/pNpB2pn/2P2p2/PP2pPPp/N3P3/6BP/4K2R b K - 6 25
black win | 6r1/1kB5/7p/p2R3P/Pp3P2/1P6/5R1p/6qK w - - 2 76
draw by insufficient material | K7/8/8/4B3/8/8/2k5/8 w - - 0 210
black win | r7/7p/2pnP3/3b2k1/K7/3n3p/8/B7 w - - 3 84
white win | 8/8/8/pn3k2/6Q1/2Bp1P1p/3PNP2/5K2 b - - 5 78
black win | 1r6/2N1k3/8/q4p1p/6P1/K7/4B3/1N6 w - - 0 78
black win | 1N2bbr1/5k2/p5p1/3pPp1p/1R1K1n2/3r3P/N7/8 w - - 6 63
draw by 50 move rule | 8/8/8/3k4/8/K6p/7P/8 w - - 100 240
