draw by threefold repitition | R7/4P1p1/6P1/8/1k4p1/8/8/6K1 w - - 22 82
draw by threefold repitition | 5R2/8/4k3/8/8/8/K7/8 b - - 48 148
white win | r1bk1Qnr/1pqpp1p1/7p/pB2N1B1/3PP3/2N5/PPP2PPP/4RRK1 b - - 0 13
white win | 1nbqk2r/1p1p1Qb1/3r3p/pB2N1Bn/3PP3/2N5/PPP2PPP/4RRK1 b k - 0 12
white win | r1bqnbr1/ppp1pp1p/2Bpk1p1/3P2B1/4P3/2N2N2/PPP2PPP/R2Q1RK1 b - - 0 9
white win | 3Q1Rn1/1PP1k3/8/8/3B1N1p/8/8/6K1 b - - 0 53
white win | rnb4r/p2p1ppp/1p5k/2PNN3/4PP1Q/b7/PPP1B2P/4RRK1 b - - 0 26
white win | r1bq1bnr/pppp1Qp1/7p/1B3p2/1nNkP3/2N1B3/PPP2PPP/R3K2R b KQ - 1 10
white win | r1b2r2/pppp2pp/7n/1B1kNP2/1B3P2/4R3/PPP3PP/3R2K1 b - - 1 22
white win | rnbqk2r/p1ppnQ2/1p1b4/1B2N1p1/3PP3/2N5/PPP2PPP/R4RK1 b kq - 0 11
white win | r3kbnr/p1pQpp1p/1N1p2p1/6B1/3PP3/5N2/PPP2PPP/R4RK1 b - - 0 13
white win | r3kb2/1pnB4/p2ppBp1/4N2r/2PP1PP1/8/PP5P/4RRK1 b - - 0 19
white win | r1b1k2r/2qpPB2/6p1/p3NPB1/3PPP1p/2NQ4/P1P4P/4RRK1 b kq - 2 21
draw by threefold repitition | 1R6/2PP1P2/8/3B4/8/3k4/8/6K1 b - - 22 66
draw by threefold repitition | 6R1/8/8/4B3/7k/8/8/6K1 w - - 33 107
white win | 1n1q1bn1/rb1pp1pr/1p1k3p/pN2N1B1/3PP1Q1/8/PPP2PPP/R4RK1 b - - 5 12
draw by threefold repitition | k5nr/r1N1p2p/2n3pb/3PP1B1/4P1p1/6P1/2b5/4R1K1 b - - 13 33
white win | 2bkQb2/2p2P2/P1p5/1r1N2p1/P1PP2P1/8/7P/4R1K1 b - - 2 29
white win | 6R1/P1PP1P2/7R/4B3/4P2k/7p/7P/4R1K1 b - - 4 58
white win | 1nbq1kr1/1pNp2b1/r1n1BpNp/6B1/p2PPP2/3Q4/PPP3PP/4RRK1 b - - 0 16
white win | rnbkQbnr/1pp5/5ppp/pB1q2B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 4 11
draw by threefold repitition | 6R1/1PP2P2/8/3R4/8/8/2k5/6K1 w - - 34 81
white win | rn3knr/p1qp1Qbp/8/1b2N1B1/3PP3/2N5/PPP2PPP/4RRK1 b - - 0 13
draw by threefold repitition | 6R1/P2P4/3N4/3B4/8/7p/4k2P/6K1 w - - 31 91
white win | r1bk1r2/pp1pBQ1p/6pb/1q1N4/3pP3/3P4/PPP2PPP/4RRK1 b - - 0 13
draw by threefold repitition | rnbk2nr/2Np2p1/pp3q1p/1B2NpB1/3QPP2/b7/PPP3PP/4RRK1 w - - 11 19
white win | r1bk1Q2/p1ppq3/1p2p1pr/nB1NN1Bp/3PP3/8/PPP2PPP/R4RK1 b - - 0 12
white win | r1bq2nr/pppB1p1p/5k2/3NN3/3PP1Q1/1P6/PP3PPP/R4RK1 b - - 3 14
white win | 1nbq2kr/1p1ppQ2/1P6/1B2N1p1/2PPN1P1/8/P6P/4R1K1 b - - 3 21
white win | rnb1k3/1p1pQp2/pqp3pr/1B2N1Bp/3PP3/2N5/PPP2PPP/4RRK1 b q - 0 12
white win | 1rbq1bn1/pppp2pr/n6p/1B1N1Q2/2NkP3/4B3/PPP2PPP/R4RK1 b - - 1 12
white win | r1bqkbnr/p1np1Q2/2p4p/1B2N1B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 0 10
white win | 2R1Q3/3k2br/1p1p2p1/1ppP2B1/4P1P1/8/rPP4P/4R1K1 b - - 0 26
white win | r1bq1b1r/ppp2ppp/3p4/1B2NkB1/3PnNQ1/8/PPn2PPP/R4RK1 b - - 3 11
draw by threefold repitition | 6R1/6P1/8/8/8/8/8/3k2K1 w - - 21 139
white win | rn2R2k/p4R1p/1ppr4/1B2N1P1/3PP3/1q1Q4/PP4PP/4R1K1 b - - 0 26
white win | 3R2k1/PP6/4pBP1/4P3/3QP3/p7/8/6K1 b - - 0 52
white win | 1rbkR3/2qP2p1/1p1b2rn/1B6/pPPP1PP1/8/P6P/5RK1 b - - 2 21
white win | R2k3r/p7/7p/1BnN2pn/P1PPPP2/6P1/5K2/4RR2 b - - 0 28
white win | 1r3bn1/1R2p1pr/3pN3/p3NpBp/k2PPP2/8/1P4PP/R5K1 b - - 1 34
white win | rnb1k2R/1pbpP3/5B1p/qBP1N3/P2P4/8/7P/4RRK1 b - - 0 30
white win | rnbq1bnr/3p1N1p/3k1p2/pBpN1Q2/4P3/8/PPPP1PPP/R1B1K2R b KQ - 6 10
white win | rnQ1k1nr/1p1p1p1p/4p1pb/pB2N1B1/3PPP2/2N5/1qP3PP/4RRK1 b kq - 0 13
white win | rnbq1bnr/pp1pk2p/6Q1/2pNN3/4Pp2/8/PPPP1PPP/R1B1KB1R b KQ - 2 7
white win | rnbq1b1r/p2p1pp1/4k3/1Bp3Bp/2NPPNn1/8/PPP2PPP/R4RK1 b - - 1 12
white win | 2k4r/P3P1p1/3P2P1/4N3/4BP2/4R3/P1R4P/6K1 b - - 2 35
white win | r1b2bn1/3p1Bpr/p1pB1k1p/5Q2/3PP3/2N5/PPP2PPP/R4RK1 b - - 0 15
minimax2--random 50 game(s) computed in 2482771ms
