50 move count reached | 8/8/5K2/7k/1b6/8/8/8 w - - 100 215
50 move count reached | 8/8/8/7K/8/8/2k5/7r b - - 100 270
white win | 6Qk/8/3p1b2/3P4/1p1B4/8/K1BN4/6R1 b - - 0 97
50 move count reached | 8/8/6K1/8/N7/1k6/8/8 w - - 100 268
50 move count reached | 8/B1KQ4/7k/8/8/7p/7P/8 b - - 100 189
50 move count reached | K7/8/8/6k1/5b2/8/8/7n w - - 100 205
50 move count reached | 8/4K3/7p/7P/5k2/8/8/7n w - - 100 153
50 move count reached | 8/4k3/8/2K5/8/8/8/7q b - - 100 221
stalemate | 7K/8/8/8/8/8/8/7k b - - 63 184
50 move count reached | 4k3/8/8/p7/P5B1/8/8/2K5 w - - 100 174
black win | 3k4/p1Nq1n1r/b4b2/5B1p/P3pP2/2K1P2P/1rR5/R1B1r1N1 w - - 0 37
stalemate | 8/8/4P3/Q6p/7P/8/3K4/7k b - - 0 169
stalemate | 4K3/8/8/8/8/8/8/7k b - - 96 286
50 move count reached | 1k2B3/8/8/6N1/K7/6b1/8/7r b - - 100 233
50 move count reached | 3K4/8/8/8/8/7k/8/8 b - - 100 231
50 move count reached | 8/8/8/8/r6p/7P/1K2k3/8 w - - 100 245
50 move count reached | 8/8/1k6/8/8/8/4K2p/7b b - - 100 275
50 move count reached | 8/5K2/8/8/7p/3k3P/8/4n3 b - - 100 256
black win | 4Q3/5B1k/8/8/P2P2P1/R3b3/1B2q3/3K1b1r w - - 6 67
50 move count reached | 8/8/4k2K/8/8/8/7b/8 w - - 100 259
50 move count reached | 3R4/6k1/4K3/7B/8/8/8/8 b - - 100 216
50 move count reached | 8/8/3k1K2/8/8/8/8/8 w - - 100 262
50 move count reached | 8/5k2/8/8/8/2K5/8/8 b - - 100 210
50 move count reached | 8/4K2k/8/8/8/8/8/8 b - - 100 242
stalemate | 7K/8/8/8/8/8/8/7k b - - 77 262
black win | 4k2B/4r2R/4P3/QP3np1/N1B1P2p/P5qK/8/8 w - - 7 68
white win | 2R3k1/3R4/8/8/3B1pB1/8/p6P/7K b - - 1 87
draw | N7/7k/8/8/8/n1K5/8/8 b - - 0 139
50 move count reached | 8/8/2k3p1/p5Pp/P6P/1K6/8/8 w - - 100 138
white win | 5kQb/2p5/4pP2/3p3B/1q3p2/PNP2P2/rr4R1/3R2K1 b - - 6 74
