black win | rnbqkbnr/ppppppp1/8/8/P2P4/N1P5/1P1BPP1P/R2QK1q1 w KQkq - 0 8
black win | rnbqk1n1/ppp3q1/1b6/8/q7/2K5/8/8 w q - 10 41
draw by threefold repitition | rnbqkbn1/pppppp2/1q6/8/8/7K/8/8 b q - 33 41
black win | rnb1k1nr/ppp5/2p5/2Pq4/7q/P5K1/2N4p/8 w - - 3 26
black win | rnbqkbn1/pp1pp3/8/8/8/2Kq4/8/1q6 w q - 2 39
draw by threefold repitition | rnbqkbn1/pp1pp1p1/1p6/5p2/8/r7/1K6/8 b q - 43 48
black win | rn1qk1nr/p1pp4/bb6/8/P4p2/7p/3p3P/R4K2 w kq - 2 24
black win | rnb2rk1/ppp5/5n2/1P6/5P2/P7/K2q4/3q4 w - - 2 32
draw by threefold repitition | rnbqkbn1/ppppppp1/8/8/4q3/7r/8/5K2 b q - 13 25
draw by threefold repitition | rnbqkbn1/pp1p1p2/1p3p2/4p3/8/7r/1K6/8 b q - 23 44
black win | rnbqkbnr/ppppppp1/8/1q1K4/3PP3/8/2P2P1P/8 w kq - 2 15
black win | rnbqkbn1/pppppp2/8/8/1P6/BNPP4/P4K2/RN1q2q1 w q - 0 14
draw by threefold repitition | rnbqkbn1/ppp5/8/8/q7/8/6K1/8 b - - 35 49
black win | rn1qkbnr/pbppppp1/8/2Kq4/1P6/3P4/2P1PP1P/8 w kq - 2 14
draw by threefold repitition | rnbqkbn1/pppp4/8/q7/8/8/8/1K6 b q - 13 43
black win | rnbbqknr/pp6/8/8/5K2/4q3/8/8 w - - 4 40
black win | rnbq1bnr/pppkp3/8/4Kp2/4qP2/8/3P4/8 w - - 0 19
draw by threefold repitition | rnbq1bn1/pppkp3/8/q7/8/6K1/8/8 b - - 39 48
draw by threefold repitition | rnb1kbn1/pp1p1pp1/3p4/3q4/8/6K1/8/7r b q - 13 27
draw by threefold repitition | 1nb1kqn1/rppp4/2q5/8/8/8/8/6K1 b - - 8 36
draw by threefold repitition | rnbqkbn1/ppp5/8/8/q7/8/8/6K1 b q - 35 59
black win | rnbqkbn1/p1pppp2/8/8/8/8/q7/4K1q1 w q - 10 33
black win | rnbqkbn1/ppppppp1/8/8/8/P7/5q1r/6K1 w q - 1 19
black win | rn2kbn1/ppp1p3/q3b3/8/1K1q4/8/8/8 w q - 4 34
black win | rnbqkbn1/pp1p4/1p6/8/8/3pp3/3P4/4K2r w q - 2 31
black win | rnb1kbn1/pppp1pp1/3p4/8/N1P5/P4P2/4r1q1/1R2QK2 w q - 4 15
black win | rnbqkbnq/pqp5/8/8/8/p4qK1/P7/8 w q - 2 42
black win | rnbqk1nr/ppp5/2p5/b4P2/6Kp/6qP/8/8 w kq - 2 23
black win | rnbqkbn1/pppp4/1q2p3/5q2/4K3/8/8/8 w q - 4 32
black win | rnbqk1n1/pppp4/3b4/P3KB2/2P5/3q4/8/8 w q - 1 26
draw by threefold repitition | rnbq1bnr/pppkp3/2qq4/8/8/8/4K3/8 b - - 31 42
black win | rnb1kbn1/p1p1ppp1/2p5/8/6p1/8/7r/3q1K2 w q - 2 24
draw by threefold repitition | rnbq2n1/pppp1k2/1b6/8/8/6K1/8/8 b - - 27 47
draw by threefold repitition | rnbqkbK1/ppppp3/q7/8/8/8/8/8 b q - 14 73
draw by threefold repitition | rnbqkbnr/ppppp3/2q5/8/8/8/3K4/8 b kq - 20 38
100 game(s) computed in 95847ms
