draw by threefold repitition | 8/8/8/4kN2/P1P5/N2B3P/PPQP1PK1/R1B5 w - - 19 46
draw by threefold repitition | 7R/8/1R6/8/3k2B1/N5P1/1PPPPPK1/2BQ4 w - - 17 41
draw by threefold repitition | 8/8/8/4k2N/p7/P7/P1PPPPPP/R1BQKB1R b Q - 12 49
draw by threefold repitition | Q6N/8/8/N5k1/8/4P2P/PPPKPP1P/R1B5 w - - 19 68
draw by threefold repitition | 8/8/6k1/8/5P2/N2P4/PPPPBPP1/R1BQK3 b - - 30 75
draw by threefold repitition | 8/8/8/6kB/2P5/N7/PP1P1PPP/R1B1K2R w Q - 21 43
draw by threefold repitition | 8/8/8/7k/6N1/3P1Q1P/1PPP1P1P/1NB1KBR1 b - - 16 57
white win | 3Q4/4n3/2p5/2k3N1/pp1P4/8/PPPP1PPP/RNB1KB1R b Q - 0 41
white win | 1N2k2N/4Qp2/8/6B1/8/2P4p/PPP1PPPP/R3KB1R b Q - 1 25
draw by threefold repitition | 8/8/N4k2/2B5/8/5B1P/P1PPPPKP/RQ6 b - - 15 49
white win | 1Q4k1/R7/7p/2p5/4B3/7P/PPPKPP1P/RNB5 b - - 2 27
draw by threefold repitition | 8/8/8/1P4k1/Q7/2N3P1/PP1PPKP1/1RB2B2 w - - 20 75
draw by threefold repitition | 8/8/8/N5k1/6P1/7B/PPPPPK1P/RNBQR3 b - - 10 44
draw by threefold repitition | 8/2k5/8/N7/8/2P5/PPPKPPB1/1RB4Q w - - 66 67
white win | 1N2k3/1R2Q3/1N6/8/P4P2/4K3/PP1PP1P1/R1B2B2 b - - 4 48
draw by threefold repitition | 8/1k6/7N/1NP1B3/4P3/8/P1PP2PP/R2QKB1R w Q - 9 57
white win | 8/8/3b1N1Q/8/7k/8/PP1PPPPP/RNB1KBR1 b Q - 0 26
draw by threefold repitition | 6R1/4k3/8/8/2PK3p/2N2P1B/1P2PP1P/R7 w - - 24 78
white win | 3Q1r2/5nNp/2p1k3/6p1/5B2/2K5/PPP1PPPP/R4BR1 b - - 2 26
draw by threefold repitition | 1k6/8/8/6R1/7N/N1P1P2P/PBPQPKBP/7R w - - 21 65
white win | 8/8/5pNp/1R6/1N3k2/7P/PPPPPKBP/R1BQ4 b - - 8 33
draw by threefold repitition | 8/1k6/1r6/8/8/6P1/PPQPPPP1/RNB1KBR1 b Q - 8 52
draw by threefold repitition | 8/p7/P2P2k1/8/8/5PPB/PP1PP3/RNBQK2R w Q - 23 49
draw by threefold repitition | 5N2/N7/7B/4k3/8/P2P3B/P1K2P1P/7R w - - 41 61
draw by threefold repitition | 4N3/1k6/8/5P2/8/N3P3/PPPPP2P/R1BQKBR1 w Q - 25 70
white win | 5b1N/N1Q1p3/4n2p/8/k4P2/1PP5/P1P1P1PP/R1B1KB1R b Q - 0 41
draw by threefold repitition | 8/5k2/8/8/3B4/Q1N2P1B/P1PPPPKP/R7 w - - 30 42
white win | 3k3r/3Q1pp1/1p3N2/2p5/8/N2B4/PPPP1PPP/R1B1KR2 b Q - 1 17
draw by threefold repitition | 8/8/2P3k1/8/5P2/1P6/P2P2PP/RN1QKB1R w Q - 8 61
draw by threefold repitition | 8/8/B7/1N1k4/8/7P/PP1P1P1P/R1B1KR2 w Q - 29 55
draw by threefold repitition | 8/4k3/N7/8/8/P3P2P/P1PKP1BP/R1B4Q w - - 23 46
draw by threefold repitition | 8/k7/8/6Q1/3p4/3P4/PPPP1PPP/RNB1KB1R w Q - 18 34
draw by threefold repitition | B5k1/8/8/8/1N2K1N1/7P/PPPPPPQ1/R1B5 w - - 23 57
draw by threefold repitition | 8/8/7k/8/2N1P3/7B/1PPPPP1P/2BQK2R w - - 14 75
draw by threefold repitition | 8/4k3/8/1R6/7p/7P/PPPPPPBP/RNBQK3 w - - 36 48
draw by threefold repitition | 1k5N/8/2P5/5Q2/8/N4P1B/PP1PPPKP/R1B5 b - - 8 38
draw by threefold repitition | 6k1/8/8/8/8/1P1P4/1P1P1PPP/1NBQKBR1 w - - 28 52
draw by threefold repitition | 2N5/7k/8/8/3p4/N7/PPPP1PPP/R1BQK2R w Q - 8 32
draw by threefold repitition | BN6/8/6k1/8/1Q6/N6P/PPPPPK1P/R1B5 w - - 23 32
draw by threefold repitition | 7N/3B3k/8/2Q5/8/N3P3/PPPP1KPP/R1B5 w - - 11 53
draw by threefold repitition | 8/8/6R1/8/3k4/P6B/P1KPPP1P/R7 b - - 30 81
draw by threefold repitition | 8/8/1k6/N7/4P3/N4Q1P/PPPPKP1P/1RB5 b - - 8 46
100 game(s) computed in 142898ms
