black win | 4rrk1/p1p4p/1Rpq4/3pp1p1/2P3bP/P3b1nN/3P1pBR/2B2K2 w - - 2 21
black win | 1r4k1/r7/8/3nn2p/3P3P/1K1b2p1/4p1p1/8 w - - 2 61
black win | 4rrk1/p4p1p/5q2/1Bppp2P/P2nn3/RpbP1b2/1B4P1/2K3r1 w - - 0 23
black win | r2q1rk1/ppp2ppp/8/3pp3/1bP1nPb1/P7/1PnN2PP/1RB1KBNR w K - 0 11
black win | 4rrk1/ppp2ppp/2nq4/3Pp3/P3nPb1/RP6/3PPb1P/2BQKBNR w K - 1 14
black win | 4rrk1/ppp3pp/B7/3p1p2/1b1p1qb1/PPPP3N/3n2PP/RNB1K2R w - - 0 16
black win | 4rrk1/p6N/7B/7P/1ppn1p2/N1b3p1/PP4B1/4qK1R w - - 2 28
black win | 3r2k1/4r2p/p7/P1Rqn2P/4n3/1P1pP2b/3P1p2/5K2 w - - 2 37
black win | 2rr1k2/p6p/8/3qn3/2pbbp1P/5p2/2nP1K2/1N3R2 w - - 2 34
black win | r4rk1/ppp2ppp/2n2q2/P2p4/1b2npbP/N2PK2R/1PP3P1/R1BQ1BN1 w - - 0 11
white win | 5k2/5Q2/3N4/p6P/P7/8/3K1pp1/r7 b - - 5 53
black win | 4rrk1/p6p/8/1p1n1p2/1b1pqp1P/1P1K1R2/P7/3RB3 w - - 3 26
black win | r3k2r/ppp2ppp/8/3qp3/1b2n1b1/P5P1/2nP1P1P/RNB1KBR1 w Qkq - 0 11
draw by threefold repitition | 6k1/4r2p/8/3n4/3nq3/6K1/ppp5/8 b - - 13 56
black win | 4rrk1/pp5p/8/2ppp1p1/3nnq2/P1P4P/2PP4/1RBK2r1 w - - 0 22
black win | 4r1k1/7p/8/3pq3/3pp2P/p3b2R/2K1P1B1/n4r2 w - - 0 36
black win | B3rrk1/7p/8/p2qp3/Pb1nn2P/3P1p1b/Q1P2p2/1R3K2 w - - 0 29
black win | 4rr2/p6k/3q4/3ppp2/3pn2P/2P2b2/p1P2P2/2R1K2r w K - 0 28
black win | 4r1k1/7p/1R6/4p1p1/p2n2P1/B3n3/3P2q1/6K1 w - - 4 35
black win | 4r1k1/8/7P/3q4/p1p5/P1P5/3p1K2/4q3 w - - 0 45
black win | 4rrk1/p4p1p/5q2/P3p1N1/1bp1p2P/5bpR/1pnP2P1/BN2KB2 w - - 1 24
black win | 4rrk1/p1p4p/8/2np2p1/3b2p1/3P3N/3R1P1P/1q1K1R2 w - - 0 25
black win | 4r1k1/p6p/8/3pp3/1b1nn3/6PP/1pp1q2K/4r3 w - - 2 35
black win | 4rrk1/Qp5p/3q4/1Pppp2P/4n1b1/2P5/1Pn1pR2/RNB1KB2 w - - 1 22
black win | 4rk2/p6Q/4q3/1P1pp3/3nn2R/1pbPK3/P2P2B1/R1B1r3 w - - 3 27
black win | 4rrk1/8/p2q2p1/P2pp2P/Rb1np3/4PbP1/2pP1Q2/1Nr1K2R w - - 0 27
draw by threefold repitition | 4r1k1/7p/7P/4p3/3nq1p1/p3b1P1/Ppp4K/8 b - - 9 51
black win | 4rrk1/p4p1p/3p4/Pppnn1p1/3bP1bP/6P1/1P1P1q2/1RBQ1KRB w - - 0 18
black win | 4rrk1/p1p4p/8/P1bqppp1/3nn3/3P1bP1/4P2P/1Nr1KBNR w K - 0 21
black win | 4rrk1/pp4pp/8/2ppq3/P1Pnn3/2Q5/1P1BP3/1R2KrN1 w - - 0 20
black win | 4rrk1/p4p1p/5q2/4p3/3nnp2/2p2b1B/7P/2r2K1R w - - 0 27
black win | 4rrk1/pp4pp/8/2npqp2/1b1p2bP/P2K3R/2P1P1P1/RNB2BN1 w - - 2 17
black win | 4r1k1/p6p/3q4/2ppp3/3nn1p1/PP1pb1p1/3PP1RP/1RBK1r1N w - - 0 26
black win | 4rrk1/2R4p/7P/3qp3/P2nn1b1/1p1pP2N/1B1b4/R3K3 w - - 0 28
black win | 4rrk1/p1p3p1/2nq2p1/P2pp3/RP2nBbP/7B/4pb2/1N2K1NR w K - 0 23
draw by threefold repitition | 5k2/8/4r3/4p3/3qn1p1/1p4P1/1p1p2K1/8 b - - 17 48
black win | 4rrk1/ppp2ppp/3p3P/3np3/1P1nP3/1Q1b2P1/PP1P2R1/R1B1KqN1 w Q - 0 15
black win | B3r1k1/7p/8/4q3/2n1b2P/P2p4/1p1K2p1/1RB2r2 w - - 2 41
black win | 4rrk1/ppp2ppp/2n5/P2pp3/1b2n1P1/BPP1P3/3P1qP1/2RQKBNR w K - 1 13
black win | 4rk2/7p/6R1/p2pp3/3nn3/N2b4/4PpRP/2r2K2 w - - 0 33
black win | B3rrk1/p4p1p/5q2/4p1p1/p2nn3/N2PbPPb/3p3P/R4K1R w - - 0 21
black win | 4rrk1/pp3ppp/5n1Q/P1pp4/1B4b1/4p3/RPP2qPP/1N2KB1R w K - 1 16
black win | 4r1k1/p6p/8/1B1np3/P2pb1p1/6PP/2R5/3Kqr1R w - - 0 29
black win | 5rk1/p6p/4r3/1p1p2p1/4n2P/6PQ/2p1pqBR/2B1K3 w - - 2 26
black win | 5k2/7p/8/1P1pr3/1P1nn2P/3B4/p7/RNr1K3 w - - 0 34
black win | 4rr2/p1p3kp/B7/3pp3/pb1np3/8/3q1PPP/1R2KR2 w - - 0 21
100 game(s) computed in 305848ms
