draw by insufficient material | 8/b7/8/8/8/k7/4B3/K7 b - - 0 153
draw by insufficient material | 8/8/5k2/1B6/8/8/3K4/8 w - - 0 174
draw by insufficient material | 8/8/2k5/8/8/5K1b/8/8 w - - 0 136
draw by threefold repitition | 5B2/1k6/8/6np/7P/8/8/b4KR1 b - - 9 85
draw by insufficient material | 3K4/8/4N3/5k2/8/8/8/8 b - - 0 222
white win | Q7/8/k7/2K5/8/3R4/5n2/8 b - - 5 174
draw by insufficient material | 7k/8/8/8/8/8/6K1/8 w - - 0 151
draw by insufficient material | 5K2/8/8/8/8/4k3/8/8 w - - 0 180
draw by insufficient material | 8/8/2b5/2K2k2/8/8/8/B7 w - - 0 164
draw by stalemate | 7r/5K2/3q4/8/5k2/8/8/6r1 w - - 2 172
draw by 50 move rule | 8/8/8/K7/8/5R2/k7/8 w - - 100 214
draw by insufficient material | 8/8/8/7k/1B6/6K1/8/8 w - - 0 126
draw by 50 move rule | 7k/7r/8/8/2K5/6b1/8/8 w - - 100 178
draw by insufficient material | k7/8/8/5B2/8/8/8/5K2 b - - 0 141
draw by 50 move rule | 8/3k4/8/8/8/3r4/6R1/4K3 w - - 100 177
white win | 2R2k2/8/P4K2/1p6/5P1p/2p3r1/2n5/8 b - - 5 105
black win | 8/1br2BrN/1k2pb2/2n2p2/2p3pp/4P2K/Q2P1R1P/B5NR w - - 0 57
draw by stalemate | 8/5q1k/8/6Kp/7P/8/8/8 w - - 6 181
draw by insufficient material | 4k3/8/8/8/1K6/3B4/8/8 w - - 0 151
draw by insufficient material | 8/3b1k2/8/8/8/8/7K/8 b - - 0 179
draw by 50 move rule | 8/8/8/4k3/8/2RK4/8/8 w - - 100 267
draw by stalemate | 1b6/8/8/6k1/8/1p5K/2r5/n7 w - - 12 142
draw by insufficient material | 8/2K5/8/8/8/8/1k6/n3N3 w - - 0 187
white win | 8/3Q1Q2/2b2k2/B1r2P2/N4PP1/8/7r/rn2KR2 b - - 2 96
black win | 3q1b1r/3bp2p/r3kppn/1Bppn3/P3KP2/P1P1P2P/1RQP2P1/1NB3NR w - - 0 16
black win | 6r1/3kB3/5pP1/P3p3/2P2Pq1/3Bp1K1/2p2n1P/5R2 w - - 1 47
draw by insufficient material | 8/8/8/8/k7/6n1/8/2K5 b - - 0 205
white win | 1rk1r1B1/2Qp1p2/3P2P1/4pn2/1p2N1P1/3b4/PP2RK2/R1Br4 b - - 1 38
draw by stalemate | 8/8/8/8/8/K5Q1/8/7k b - - 26 156
draw by insufficient material | N7/8/8/8/2K5/8/8/7k w - - 0 284
draw by 50 move rule | b7/4N3/8/8/3B4/8/8/1k2K3 w - - 100 225
draw by 50 move rule | 8/3K4/5k2/8/8/8/2R5/8 w - - 100 263
draw by insufficient material | 8/8/8/8/5NK1/4k3/8/8 w - - 0 190
draw by 50 move rule | 8/8/b6b/8/8/K7/8/4k3 w - - 100 206
black win | 8/8/8/p1k5/3q4/4K3/5r2/8 w - - 2 208
draw by insufficient material | 8/8/k7/8/8/1K6/8/8 w - - 0 198
draw by insufficient material | 8/8/4N3/8/7k/8/6K1/1n6 b - - 0 189
white win | 1bQ5/8/8/1kQ5/p7/K7/1n3R2/8 b - - 3 118
draw by insufficient material | 8/8/8/4k3/8/5K2/8/8 b - - 0 110
draw by threefold repitition | 8/8/p6k/P7/8/1K6/8/8 w - - 21 233
draw by insufficient material | 8/k7/5K2/8/8/8/2B5/7n w - - 0 130
white win | 2rk4/nr2pNb1/1p3N2/p2P1p2/5R2/qP2P3/n4P2/B1QK3R b - - 5 52
draw by insufficient material | 8/5k2/8/5n2/8/3B4/K7/8 w - - 0 163
draw by stalemate | 8/8/6P1/8/8/1Q6/3BK3/k7 b - - 13 156
draw by insufficient material | 8/5k2/8/8/7K/8/8/8 w - - 0 259
black win | 4r2k/7p/3pn1p1/6R1/pP1Pp2B/PpKb2PR/2r4N/8 w - - 25 75
draw by insufficient material | 5BK1/8/8/k7/8/8/8/8 w - - 0 194
draw by insufficient material | 8/K7/8/8/7k/3N4/6b1/8 b - - 0 180
draw by insufficient material | 8/8/6k1/8/8/8/8/4K3 b - - 0 220
draw by 50 move rule | 8/8/8/4k3/p1K5/P7/8/8 b - - 100 251
draw by insufficient material | 8/2k5/8/8/2K5/8/8/8 w - - 0 179
draw by insufficient material | 8/k7/8/7N/8/3K4/3n4/8 w - - 0 137
draw by insufficient material | 8/1K6/8/8/5n1k/8/8/8 b - - 0 208
draw by threefold repitition | 6k1/K7/8/7r/8/8/8/8 b - - 68 157
draw by insufficient material | 3k4/8/7K/8/8/3N4/1b6/8 b - - 0 128
black win | 5n2/8/4pk1K/8/8/p7/8/7r w - - 21 111
draw by 50 move rule | 8/k7/8/8/6K1/8/5r2/8 b - - 100 196
draw by insufficient material | 8/7k/1K6/8/8/8/8/8 w - - 0 162
draw by insufficient material | 6n1/8/8/2k5/8/6K1/8/N7 w - - 0 174
draw by stalemate | 8/8/8/2n2k2/7p/K6P/1r3p2/b7 w - - 0 125
draw by insufficient material | 8/1b6/8/8/1k6/4K3/8/8 b - - 0 164
draw by insufficient material | 8/7k/8/8/8/6b1/2K5/8 b - - 0 120
draw by 50 move rule | 8/1R6/k7/8/4K3/8/8/8 b - - 100 289
draw by insufficient material | 8/3B3k/8/8/8/4K3/4n3/8 b - - 0 170
draw by insufficient material | 6k1/8/8/8/2K5/8/1B6/1b6 b - - 0 142
draw by stalemate | k7/8/1Q6/8/8/3K4/8/8 b - - 18 214
draw by insufficient material | 8/6K1/8/8/8/8/8/b1k5 w - - 0 219
draw by insufficient material | 2k5/8/3K4/8/4N3/8/8/8 b - - 0 179
draw by 50 move rule | 1k6/8/8/8/5K2/p7/P7/8 b - - 100 199
draw by insufficient material | 7k/3K4/8/8/8/8/8/8 b - - 0 182
draw by 50 move rule | 8/8/8/4N2p/3N3P/1K4b1/1n6/1k5B w - - 100 171
black win | rr4k1/4b2R/6p1/K2nPp2/8/RPP2qp1/3P4/2BN1b2 w - - 2 58
white win | r4bn1/qBpr4/4p3/p1p3p1/3kQ3/Pp3P1P/1P1P4/R1BK2N1 b - - 1 36
white win | 2k1RN2/7R/8/2P3K1/8/8/nrB1n3/8 b - - 4 94
draw by insufficient material | 8/8/3n4/2k5/8/8/3K4/8 w - - 0 176
draw by insufficient material | 8/8/8/8/4K2k/8/8/8 b - - 0 227
draw by threefold repitition | 8/8/8/p7/P7/8/7k/1K6 w - - 27 169
black win | 8/p3kr2/3N4/1PP3q1/B3P3/3pKp2/1b2bP2/8 w - - 3 65
draw by insufficient material | 8/8/8/8/2K5/8/8/6k1 b - - 0 180
white win | 7N/7R/8/2P5/p7/5K1k/4n3/8 b - - 2 95
draw by insufficient material | 8/8/8/8/8/5k2/7K/8 b - - 0 196
