black win | r2q1rk1/ppp2ppp/5n2/3pp3/PbP1P1b1/R2P4/1PnQ1PPP/1NB1KBR1 w - - 1 10
black win | r2qk2r/ppp2ppp/2n2n2/4p3/1bPp2bP/1P1PK2N/P3PPP1/RNBQ1B1R w kq - 0 8
black win | r4rk1/ppQ2ppp/8/BP1pp3/1P1nn1b1/8/P4qPP/RN2KBNR w KQ - 0 12
black win | 3r2k1/7p/4r3/3q4/1b6/B1p4P/p1nppppR/K4B2 w - - 2 38
black win | 4rrk1/pp5p/3q4/2ppp1p1/3n2bP/P1N5/1P1PpbP1/1RB1KB1R w - - 2 20
black win | 4rrk1/pp4pp/8/2pp1pN1/1b2n1bP/P1PB4/1P4P1/RNq1K1BR w KQ - 2 17
black win | 6k1/8/8/7p/3pn2P/3b1Kq1/pR1P4/3B4 w - - 4 54
black win | 4rrk1/pp4pp/B7/P1ppqp2/1b2n1bP/4P3/1PnP2PR/RNB1KQN1 w Q - 0 16
draw by threefold repitition | 4rrk1/8/3p3P/3n4/3b2K1/8/1p1p1p2/8 b - - 12 49
black win | 4r1k1/7p/8/p2pp3/P2np1b1/q3pB2/1K2p2P/r7 w - - 4 33
black win | 4rrk1/p4p1p/8/P2pp3/1p1nn3/Rpb2q1P/1B1PN2R/1N1K2r1 w - - 0 25
black win | 2B1rrk1/p5pp/3q4/P1bpp1R1/3nn1P1/1P5N/3pP3/RN1K1r2 w - - 0 23
black win | 6k1/3r3p/7P/3pq3/Pb1nn3/5p2/1p6/3r1K2 w - - 0 53
black win | 4r1k1/7p/8/8/6P1/4q2P/pppppK1B/6r1 w - - 6 42
black win | 4rrk1/p4p1p/8/3pp3/Bb1pnN2/P4q2/3P3P/RNB1K2r w - - 0 21
black win | 4r1k1/p3B2p/3q4/1pp1p1P1/1b1nn1pR/P1P5/1P1pP3/3Kr1N1 w - - 0 23
black win | 4rrk1/p6p/8/3qp1p1/2pn1pbP/2p1p1P1/P3PK2/N3RBNR w - - 0 24
black win | 4rrk1/ppp2ppp/2n5/3pP3/1bP1n1b1/3PKq2/PP1Q3P/RNB2B1R w - - 0 12
black win | 4rrk1/ppp2ppp/5q2/3pp3/1b2n1b1/6PP/PPnQ1P2/RNB1KBNR w KQ - 0 13
black win | 4rrk1/5p1p/4R3/P2p4/4p3/3b3P/2pP4/1RB1K1q1 w - - 2 31
draw by threefold repitition | 6k1/8/3r4/8/6K1/1p6/pp2p3/8 b - - 19 66
black win | 4rrk1/ppp2ppp/2n5/3pp3/1b2n1b1/N4qPB/PPPPN1KP/1RBQ2R1 w - - 2 13
black win | r2q1rk1/ppp2ppp/8/B2pp3/Pb2n3/2N2bPP/1Pn2P2/R3KBNR w KQ - 0 12
black win | 4rrk1/ppp3pp/2n5/3ppp1P/P3nNb1/4P1P1/1P1P1P2/RNq1KBR1 w Q - 0 15
black win | r2qkb1r/ppp2ppp/5n2/3pp3/5Qb1/2P1P3/PPnP1P1P/RNB1KB1R w KQkq - 1 8
draw by threefold repitition | 4r1k1/3r4/8/8/7P/3p4/2pp3K/8 b - - 24 74
black win | 4rrk1/ppp2ppp/8/3pn3/Pb2n1bP/N3K3/R1PP1qP1/2BQ1B1R w - - 0 13
black win | 4rrk1/p6p/7P/2b5/3pn1b1/5p1N/p7/RNr2K2 w - - 0 32
black win | 4rrk1/ppp2ppp/8/3Pn3/1b1N2bP/6q1/PP1P2P1/1RB1KBNR w K - 2 14
black win | 4r1k1/3r4/8/3qp2B/3nn3/Np4p1/1B1P3P/4K2r w - - 0 38
black win | 4rrk1/pp5p/Q2q4/P1pppp2/1b2npb1/3RP2N/2nP2PP/BN2KBR1 w - - 0 17
black win | 3Brrk1/p6p/3q4/1pppppp1/3nn1b1/NP1PP3/P2b1PPP/R3KB1R w KQ - 0 18
black win | 4rrk1/ppp1B1pp/2nq4/3ppp1P/P3n1b1/1P1P4/2Pb1PP1/R3KBNR w - - 0 16
black win | 4r1k1/5r1p/8/3R4/p3n2P/3pbp2/P2P1p2/3K2r1 w - - 0 38
black win | 4rrk1/ppp2ppp/5n2/1B1p4/1P4b1/1PN1p3/P4qPP/R1B1K1NR w - - 2 15
black win | 4r1k1/ppp3pp/5q2/1B1pp3/1P2nrbP/7N/PPnP3R/RNB1K3 w Q - 5 16
black win | 4r1k1/p6p/3q4/1p1p4/2pnnpp1/PP4P1/4RR2/2r1KB2 w - - 2 27
black win | 3Nrrk1/p6p/8/1p1pq3/3nn1b1/8/4P2P/2RQKrBR w K - 0 26
black win | 4rrk1/pp3ppp/3q4/2ppp2P/1bPn4/N2PP3/PP3nP1/R1BK1BR1 w - - 0 15
black win | 4rrk1/3Kq2p/8/6p1/4b1B1/1p1p4/1B1Ppp1P/RNR5 w - - 5 36
black win | 4rrk1/p6p/B7/Ppppp1p1/3np3/7P/R1PPq3/B3K2R w K - 2 22
black win | r4rk1/ppp2ppp/2n5/3pp3/Nb2n1P1/1P6/P1PP1qNP/R1BQKB1R w KQ - 1 11
black win | 4rrk1/p3Rppp/8/1p1p4/1b2n1b1/N3p1PP/P2Q1q2/4K1NR w K - 0 18
black win | 3r2k1/p6p/8/8/P3n2P/3r4/2p1K3/4RBn1 w - - 0 35
black win | 4rrk1/pp5p/8/1P1pp1p1/3np2P/8/2q1P1PR/2K2B2 w - - 0 24
black win | 4rrk1/p4p1p/5q2/1p1ppb2/1p1nn1B1/BP4P1/P2P3P/RN1K3r w - - 0 21
100 game(s) computed in 189659ms
