white win | rnbqkbn1/ppppp3/8/4P2Q/5p2/P7/1PPP1p2/RNB2K2 b q - 1 14
white win | rnbqkbn1/ppppp1p1/6B1/3pP3/8/6P1/7r/3K4 b q - 3 19
black win | rnbqkbnr/pppp1p2/3p1B2/8/P4P2/1P6/2PPP3/R2QK1q1 w KQkq - 0 12
black win | rn2kbnr/p1pbp3/p3p3/7p/K6p/2q5/PP4P1/1R6 w kq - 2 17
black win | rnbqkbnr/pppp1pp1/4p3/2K1N3/3N4/P2q4/1P2PP1P/8 w kq - 0 13
black win | rnbqkbnr/ppppp3/8/1PB5/2PK4/3P1q2/P7/q7 w kq - 2 22
black win | rnb1k1n1/ppp5/5p2/8/q2q4/2K5/8/8 w q - 4 57
draw by threefold repitition | rnbqkbn1/ppppppp1/8/8/8/2PPP3/5PK1/r7 w q - 8 19
black win | rnbqkbn1/p1ppppp1/8/8/8/8/q7/3K3r w q - 6 34
black win | rnbqk1n1/bppp4/8/3Kp3/3q4/8/8/8 w q - 2 27
black win | rnb1kbnr/pppp4/6p1/4pP2/1P3P1q/7p/P1PPP2P/RNBQKB1R w KQkq - 1 9
draw by threefold repitition | rnbqk1n1/pppp4/1b6/8/5p2/5P2/4K3/8 b q - 21 39
black win | rnbq1kn1/pp5q/8/3p3K/8/8/8/8 w - - 2 34
black win | rnb1kbn1/pppp4/8/4p3/PPPP3q/8/7K/NRB2q2 w q - 2 23
black win | rnbqk1nr/pppp1pb1/4p3/6K1/2q5/P6P/3P1P2/8 w kq - 0 16
draw by threefold repitition | rnbqkbn1/pppp4/8/q7/8/3K4/8/8 b q - 13 33
black win | r1b1kbn1/ppp1p1p1/n3p1p1/8/1K6/3q4/r7/8 w q - 4 41
black win | rnbqk1nr/pppp4/1b6/8/P1P4p/7P/7K/6q1 w kq - 2 25
black win | rnb1k1nr/ppp5/8/b7/1p5q/6K1/8/7q w kq - 2 38
black win | rnb1kbnr/ppp1p3/2p5/P7/R4P2/NP3p1p/4q2P/2B1K3 w kq - 2 16
black win | rnb1kbnr/pp1pp3/8/1P6/8/5q2/6K1/3q4 w kq - 2 26
black win | rnb1kbnr/p1pp4/p7/7p/P6q/8/6K1/7q w kq - 2 23
black win | rnb1kbn1/pp6/3p4/3p1p2/8/8/4q3/4q2K w q - 2 30
black win | rnbqkbnr/ppppppp1/8/8/P1P2P1q/2N5/RP1PP3/2BQKBN1 w Kkq - 0 7
black win | rnbqkbn1/ppppppp1/8/2K4r/P4q2/1P1P4/4P3/8 w q - 2 15
black win | rnb1kbnr/ppp1q3/1qq5/8/8/2qK4/8/8 w - - 2 42
black win | rnb1k1n1/ppp5/5p2/4pP2/1PP1p3/R7/3q4/1NB2K1r w q - 1 19
white win | rnbqkbn1/ppppp3/8/2P2p1Q/P7/1P4P1/3N4/R1B2KR1 b q - 1 12
white win | rnbqkbn1/ppppp3/8/5p1Q/3PP3/N7/PP1K4/1R6 b q - 1 15
black win | rnb1kbn1/ppp1ppp1/2p5/8/8/1PP1P3/P2q3r/1R1K4 w q - 0 12
black win | rn2k1nr/ppp5/5p2/8/4P3/P3Kq1p/7P/3q4 w kq - 2 27
black win | rnb1kbn1/p7/8/8/8/8/q7/3q2K1 w q - 12 47
black win | 1nb1kbn1/rpp5/8/8/3q4/4K3/8/3q4 w - - 2 51
black win | 1nbqk1n1/1ppp1p2/3b4/8/8/8/7K/5q2 w - - 38 48
draw by threefold repitition | rnb1kbn1/ppp1ppp1/2p5/8/7r/8/3K4/8 b q - 34 38
black win | rnbqkbn1/ppppppp1/8/8/4P1q1/2N5/PPPP1P2/R1B2K1r w q - 2 9
draw by threefold repitition | rnbqkbn1/ppppppp1/8/8/8/7r/2K5/8 b q - 21 30
100 game(s) computed in 134177ms
