draw by insufficient material | 6k1/8/8/2K5/8/8/8/7b w - - 0 229
black win | 1r1qkbr1/Q1pbpp2/p6p/P2p2p1/8/R1P1n3/1PnPPP2/1NB1KBNR w K - 3 16
black win | 3r2nr/q3p3/1p2kp2/p1P3pp/bP3bKP/B1N1pNPB/1R6/7R w - h6 0 33
white win | k7/Q7/pp1rP3/1N1n2P1/2p2BP1/1n3B2/PP2K2P/1r6 b - - 7 46
black win | 1b6/8/8/2r3Pk/1p2p3/5p2/8/3r3K w - - 3 100
black win | 1n6/6pk/1N1B1P1p/1p1B3n/6PP/1p6/r7/1b2r1K1 w - - 0 45
white win | N3k1QB/2R2p2/1P5P/3Pbn2/1P6/1b6/6K1/8 b - - 14 69
black win | r1bk3b/7P/2pP1p2/1Pn2P1R/2n1P1P1/N5R1/1q6/1K5B w - - 0 60
black win | rnb1kbnr/p1p2ppp/1p1p4/P3p3/4q3/N7/RPPPKPPP/2BQ1B1R w kq - 0 10
black win | r3kb1r/p1p1pp1p/8/6P1/Pp2p1n1/4Bb1N/1PPqnK1P/1N1R1B1R w - - 4 20
white win | 4rb1N/3b4/pp1p2Qk/5p1p/B1p3p1/P1P2nPP/5PR1/6RK b - - 3 42
draw by insufficient material | 5k2/8/8/8/8/8/2K5/8 b - - 0 206
white win | 2R2k2/5p2/K4P2/P7/7P/2B5/b7/7N b - - 0 75
black win | 5b1r/P4bp1/3Pkn2/2B1p1Pp/2p1p2P/1r2KP2/nq6/5N2 w - - 5 54
draw by 50 move rule | K2k4/8/6p1/6P1/6P1/8/8/8 b - - 100 234
black win | 1r3kn1/pbQ5/5B1b/1PpN3p/1P3P1P/3P2Kp/4BNq1/5Rn1 w - - 0 35
black win | k7/8/8/1P2BP1p/3P3p/8/4r3/2r4K w - - 1 81
white win | rnbqkbnr/ppppp2p/8/5ppQ/2B5/4P3/PPPP1PPP/RNB1K1NR b KQkq - 1 3
white win | 2b3n1/2p3bp/1q6/r1P2Pk1/1p3Q2/Pp1P1K2/2nN3R/B1R5 b - - 2 51
black win | 2b5/6rp/7P/2b4k/p7/1b5K/5r2/8 w - - 14 103
black win | r4k1r/n2P2p1/2b4p/P2pP3/B2B4/1Pb2p2/2Kq1P1N/1R2R3 w - - 1 41
black win | r1b3n1/p1nk2Pr/4p2p/1pP2B2/N2PPb2/P4P2/2P3Kq/R1B2R2 w - - 2 27
black win | 1k6/7p/2P4P/2N2p2/BP2bPp1/8/2r5/B3r1KR w - - 5 59
white win | 8/1pr2RQ1/p1p1P1k1/P4p1p/1PN4b/3P1pq1/3N4/2B3RK b - - 2 58
white win | 3qr3/2Rn1n2/b3B1p1/bk1Pp1Pp/2p4P/NPP2P2/4PQR1/B4K2 b - - 0 35
black win | 1r3k2/1Bp2pr1/3b2pp/2Pp1b2/1p3p1P/6n1/1BqP3R/R1K3N1 w - - 2 39
black win | 8/8/P7/2P1b2k/5PpP/1Np1n3/2P3q1/2R3K1 w - - 1 74
white win | 7k/1P6/6Q1/4B2p/6pP/3p2n1/8/K6R b - - 1 81
black win | 8/n3k3/p4b2/p5p1/2p2pP1/5P2/K7/r7 w - - 6 68
white win | rnb1qb1r/p1pppn1p/1p2kp2/3Q4/2P2Pp1/1PN1P1P1/PB1P3P/R3KBNR b KQ - 1 10
draw by insufficient material | 4K3/8/8/8/B7/8/8/2k5 w - - 0 201
black win | 4k1n1/1p1r4/1P2Pr2/p1p1P3/1N3P2/3b2RB/Pb1Kq3/8 w - - 0 42
draw by insufficient material | 2b5/6K1/8/8/k7/8/8/4B3 w - - 0 215
white win | rnb1kQ2/pp1p4/4pbrB/3n1P2/Pp1P2p1/8/4p1PP/RN2K2R b KQq - 1 22
white win | 8/8/1Qn4p/1k5P/3Qp3/2PP2r1/1B3K2/7N b - - 0 69
white win | 5Bnr/p2n1R1k/6b1/2p5/P1P5/1P2b1Pp/4N2P/RQ1K4 b - - 0 61
black win | 4k3/2b5/1P1p3p/3Pp2P/5p2/B1P2KrB/P2p4/R1N1q1N1 w - - 5 50
black win | k7/8/4b3/4R3/3p1Kq1/8/8/8 w - - 6 111
black win | 8/8/8/8/5p1p/2k5/Kq6/8 w - - 2 134
