white win | 5k2/1P1P3p/1P3Q1b/3P3r/4P3/p5R1/7P/3R2K1 b - - 0 35
white win | 2N2R2/4k1P1/3p2p1/3PN2p/rP1PQ1P1/8/7P/4R1K1 b - - 0 27
white win | 1rk2br1/p6p/1PQ1P1p1/1PP1P1B1/8/8/7n/4R1K1 b - - 1 30
white win | 1R1k2n1/4b1p1/4PBP1/r2NN3/p2QP2r/P7/4R3/4R1K1 b - - 0 35
white win | r1bq1knr/pp1pbQp1/n7/1Bp1N1Bp/3PP3/2N5/PPP2PPP/R4RK1 b - - 0 10
draw by threefold repitition | 1k6/3P2P1/3P4/1B1PN3/p2Q4/8/8/6K1 w - - 12 64
white win | rnb1kb2/ppNp1ppr/7p/1qp1p1B1/3PP3/3Q1N2/PPP2PPP/4RRK1 b q - 1 11
white win | r1bR2k1/2p4p/np2P3/1B1P4/p2QP1n1/6P1/P7/4R1K1 b - - 2 26
white win | r1b4r/1pbkPPPp/2p2N2/2P5/8/8/7P/4R1K1 b - - 2 32
white win | r5nr/3p1Qkp/b1nb2p1/PP1NN1B1/3PP3/8/P4P1P/4RRK1 b - - 2 19
white win | rqk5/3QP3/8/p3P1p1/6P1/8/5P1P/3RR1K1 b - - 1 31
white win | 3r2rb/2P1pRk1/2B3Pp/P1PNN1B1/3PQ1b1/8/8/4R1K1 b - - 2 29
white win | rnb2knr/p2p1Qpp/1p6/1Bp1N1B1/1b1PP3/2N5/PPP2PPP/4RRK1 b - - 0 12
white win | r1b2nr1/6kp/p3PBpb/PpPNP3/2PPP3/3Q4/7P/4RRK1 b - - 1 25
white win | 1nb1qbnr/1pp2ppp/r2pk3/pB2NQB1/3PP3/2N5/PPP2PPP/R4RK1 b - - 6 10
draw by threefold repitition | 5R2/k2PP3/8/4Q1Bp/1p5P/4R3/8/6K1 w - - 10 51
white win | R4k2/3p1pbn/5p2/1P1NNP2/3PB2p/3Q4/7P/2R2RK1 b - - 0 28
white win | 3R2k1/1p2Pp2/5BP1/1n2N2p/1p2P3/2b5/r6P/3R2K1 b - - 2 41
white win | 1nbk3r/3p1Np1/3P2P1/pB3P1p/P2PQ2b/8/7P/4RRK1 b - - 2 27
white win | r1b2q2/pp1p1p1r/4kB1p/1BPNNPp1/P1PPP1P1/8/7P/4RRK1 b - - 0 20
white win | 2r1kb2/2P1pp2/5B1r/pQPNNP1p/1P1PP3/8/7P/4RRK1 b - - 1 26
white win | rnb1kbnr/2Np1pp1/4p2p/1p2P1B1/3QP3/8/1PP3PP/4RRK1 b kq - 1 14
white win | 2R1kb2/3ppr2/8/1P1NN1Bp/3PP3/r2QR3/7P/4R1K1 b - - 0 29
draw by threefold repitition | 8/PP1PPPP1/4P3/8/3BQ3/1k6/8/4R1K1 b - - 26 87
white win | 5b2/1Qk1Pp2/3N1p1r/1p5p/1P5r/8/7P/3R2K1 b - - 0 34
white win | 5Rkr/3P2p1/1P2N1P1/3bB2p/p2NP3/2Q5/7P/4R1K1 b - - 0 36
white win | 6N1/p1pP3p/b1P2P1k/P3NR2/4P3/8/1r5P/4R1K1 b - - 0 32
white win | rn1qkb2/1p2pp1p/2pp1N2/pB4r1/3P4/3Q1N1b/PPP2PPP/4RRK1 b q - 1 11
white win | rq2kbnr/pppB1p2/3p2p1/4NnBp/3PP3/2N2Q2/PPP2PPP/R4RK1 b kq - 0 10
white win | r5r1/PP2n1kp/2p1PQpb/3N1R2/3PP3/8/6bP/4R1K1 b - - 0 33
white win | 3R3r/2k1P1p1/ppQ4p/1p1PN3/3PP1P1/8/P6P/4R1K1 b - - 0 24
white win | rn1n2r1/P1NPp3/2B1kBPp/1P2P3/3QP3/8/7P/4RRK1 b - - 2 30
white win | r1b1kb1r/p1Ppn3/3PpNpp/PB2N1P1/1P1QP1P1/6P1/8/4RRK1 b - - 2 26
white win | r1bnq1nr/ppp1p3/4k1pb/1B1pN1Bp/2PPN3/7Q/PP3PPP/4RRK1 b - - 1 13
white win | 1nbqkb1r/rp3Q2/3p2p1/PP2N1Pp/3P2P1/8/P6P/4RRK1 b k - 2 21
white win | 3k2rb/2qPB2p/b2R4/pB1NP3/P2PP1P1/3Q4/6P1/4R1K1 b - - 0 27
white win | rnb1kb1r/3p1Q2/ppp3p1/1Bq1N1Bp/3PP3/2N3P1/PPP2PP1/4RRK1 b kq - 0 12
white win | rnbqkb2/4nQpr/1pp4p/1B1PN1B1/p1PP4/8/PP3PPP/4RRK1 b q - 1 15
white win | rnQkr3/pP1pp2p/5B2/PB1NNP2/3P1P2/2P5/7P/4RRK1 b - - 0 25
white win | r2qkbnr/2pn3p/bp3p2/pB1NN1BQ/3PP3/8/PPP2PPP/R4RK1 b kq - 2 10
draw by threefold repitition | 6k1/1P6/8/3N4/4R2p/4R2P/8/6K1 w - - 13 54
white win | r2qkb1r/2ppp3/bpn3Qp/1B1NB3/p1PP4/5N2/PP3PPP/4RRK1 b kq - 2 15
draw by threefold repitition | 8/p5k1/P7/4N3/3Q4/6p1/3R4/6K1 b - - 14 70
white win | rn2k3/3p1prp/p1p2BNb/1B1P1PP1/PP1P4/3Q4/7P/4RRK1 b q - 0 22
white win | 1q2kbnr/1bPB4/1r2ppp1/3NN1B1/P1PPPPp1/3Q4/7P/4RRK1 b k - 0 20
white win | rnbkr3/1p1p3p/1Q1P1p2/pB1N4/2P1PP2/8/PP4PP/4RRK1 b - - 2 19
100 game(s) computed in 178208ms
