draw by insufficient material | 8/8/8/7k/8/3B4/1K6/8 w - - 0 226
draw by insufficient material | 8/8/8/k7/2K4b/3B4/8/8 b - - 0 167
draw by insufficient material | 8/8/6K1/8/k6b/8/8/8 b - - 0 152
draw by 50 move rule | 8/8/8/6K1/8/8/6k1/r7 w - - 100 279
draw by insufficient material | 8/8/3k4/8/8/8/8/2K5 b - - 0 209
draw by insufficient material | 8/8/8/3K4/8/k7/8/8 b - - 0 214
draw by insufficient material | 1k6/8/7B/8/8/1K3n2/8/8 b - - 0 138
draw by insufficient material | 8/7K/2n5/8/8/8/8/7k b - - 0 235
draw by insufficient material | 8/3K4/8/6k1/1N6/8/8/8 b - - 0 168
draw by 50 move rule | 8/8/3q4/1N6/2K5/8/2k5/8 w - - 100 181
draw by insufficient material | 8/8/8/K7/8/6k1/8/8 w - - 0 181
draw by 50 move rule | 8/8/8/8/8/3k4/7B/3RK3 b - - 100 171
draw by insufficient material | 5K2/8/5k2/b7/6B1/8/8/8 w - - 0 154
draw by insufficient material | 8/5k2/N7/8/1K6/8/8/8 b - - 0 164
draw by insufficient material | 8/8/8/8/5k2/8/3b4/3K4 w - - 0 173
draw by insufficient material | 8/5K2/8/7k/8/8/8/8 w - - 0 311
draw by insufficient material | 4k3/8/1K6/8/8/8/8/8 b - - 0 175
black win | 5b1k/5P2/8/p1p2np1/P1P2P2/4p1R1/1q1r4/KN3R2 w - - 2 79
draw by insufficient material | 3B4/8/8/2K5/8/3k4/8/n7 w - - 0 198
white win | 8/8/8/6R1/8/5K1k/8/7Q b - - 14 140
draw by insufficient material | 8/8/8/8/6K1/8/4k3/8 b - - 0 194
draw by insufficient material | 2k4B/8/8/8/8/8/8/K7 b - - 0 154
draw by insufficient material | 8/8/2k4K/8/8/8/8/8 w - - 0 214
draw by stalemate | 8/1k6/8/8/8/6n1/1q4n1/3K4 w - - 0 141
draw by insufficient material | 3k4/8/8/8/8/8/8/K7 b - - 0 207
white win | 2k5/2Q5/N1P3pq/2R5/1rP3r1/5K2/8/2n5 b - - 4 78
draw by 50 move rule | 3k4/8/8/8/8/8/4R3/2K5 w - - 100 225
